,id,belongs_to_collection,budget,revenue,runtime
145,415,True,125000000,238207122,125.0
146,602,True,75000000,817400891,145.0
147,158015,True,3000000,89328627,86.0
148,74,False,132000000,591739379,116.0
149,396806,False,20000000,0,100.0
150,75,False,70000000,101371017,106.0
151,199,True,46000000,150000000,111.0
152,49529,False,250000000,284139100,132.0
153,340837,False,40000000,26559557,146.0
154,395,True,70000000,171183863,101.0
155,869,False,100000000,362211740,119.0
156,1894,True,120000000,649398328,142.0
157,268896,True,150000000,290061297,111.0
158,201,True,60000000,67312826,117.0
159,9397,False,80000000,98376292,101.0
160,54138,True,190000000,467365246,132.0
161,59967,False,30000000,47042000,118.0
162,206487,False,5500000,3000000,97.0
163,9426,True,15000000,60629159,96.0
164,2164,True,55000000,196567262,121.0
165,72559,True,130000000,371876278,110.0
166,227156,False,25000000,66980456,94.0
167,387426,False,50000000,0,122.0
168,10865,True,120000000,186053725,95.0
169,95,False,140000000,553799566,151.0
170,49049,False,50000000,41037742,95.0
171,605,True,150000000,424988211,129.0
172,9804,False,175000000,264218220,135.0
173,1452,True,270000000,391081192,154.0
174,442249,True,13000000,137056262,97.0
175,254320,False,4000000,15656193,118.0
176,308531,True,135000000,245623848,112.0
177,871,True,5800000,33395426,112.0
178,165,True,40000000,332000000,108.0
179,10483,True,45000000,73762516,105.0
180,83542,False,102000000,130482868,172.0
181,13811,False,50000000,155446362,121.0
182,9739,False,57000000,159055768,115.0
183,8698,False,78000000,179265204,110.0
184,9693,False,76000000,69959751,109.0
185,97370,False,13300000,5380251,108.0
186,339988,False,18000000,20497844,110.0
187,1103,True,6000000,50244700,99.0
188,60935,True,35000000,28128670,103.0
189,9928,False,75000000,260696994,91.0
190,301337,False,68000000,55003890,135.0
191,38050,False,50200000,127869379,106.0
192,34851,True,40000000,126248813,107.0
193,169,True,35000000,57120318,108.0
194,121856,False,125000000,240697856,115.0
195,13183,False,130000000,185258983,163.0
196,1954,True,13000000,96060858,113.0
197,2675,False,72000000,408247917,106.0
198,698,True,34000000,210308099,126.0
199,297761,True,176000000,745600054,123.0
200,16320,False,39000000,38869464,119.0
201,17654,False,30000000,210819611,112.0
202,31011,False,47000000,2331721,156.0
203,9354,True,18000000,222724172,93.0
204,47933,True,165000000,389681935,120.0
205,2756,False,70000000,90000098,139.0
206,333371,False,15000000,108286421,104.0
207,37686,False,50000000,260095987,112.0
208,262543,False,7000000,0,110.0
209,522681,False,9000000,155313078,100.0
210,1903,False,68000000,203388341,136.0
211,12244,False,30000000,48428063,79.0
212,31867,False,32000000,18409891,111.0
213,17431,False,5000000,9760104,97.0
214,45612,False,32000000,147332697,93.0
215,8814,True,60000000,55987321,105.0
216,7191,False,25000000,170764026,85.0
217,9562,False,80000000,43935763,116.0
218,2157,False,80000000,136159423,130.0
219,14869,True,175000000,302469017,118.0
220,7551,False,75000000,180557550,126.0
221,168098,False,0,1133031,98.0
222,58244,False,60000000,8106475,104.0
223,1381,False,35000000,15304890,96.0
224,9341,False,60000000,74208267,136.0
225,10796,False,49000000,72700000,87.0
226,70160,True,75000000,691210692,142.0
227,754,False,80000000,245676146,138.0
228,2666,False,27000000,27200316,100.0
229,686,False,90000000,171120329,150.0
230,15512,False,175000000,381509870,94.0
231,23048,True,36000000,64572262,101.0
232,429471,False,25000000,5958315,110.0
233,196,True,40000000,244527583,118.0
234,929,False,130000000,379014294,139.0
235,68,False,15000000,0,132.0
236,1272,False,50000000,32017803,107.0
237,8656,False,75000000,349464664,120.0
238,81796,False,20000000,32204030,95.0
239,11827,True,9300000,20100000,90.0
240,220289,False,0,102617,89.0
241,563,True,105000000,121214377,129.0
242,2135,False,80000000,123729176,96.0
243,46529,False,50000000,144492830,109.0
244,10200,False,80000000,233093859,104.0
245,1090,False,16000000,18564088,101.0
246,8413,False,60000000,26673242,96.0
247,274870,False,110000000,303144152,116.0
248,8202,False,62000000,52304001,93.0
249,9480,False,78000000,179179718,103.0
250,100402,True,170000000,714766572,136.0
251,39513,False,40000000,97552050,104.0
252,44943,False,70000000,202466756,116.0
253,1648,True,10000000,40485039,90.0
254,38055,True,130000000,321885765,96.0
255,2277,False,100000000,0,131.0
256,957,False,22700000,38119483,96.0
257,8843,True,33000000,104155843,107.0
258,44912,False,200000000,219851172,114.0
259,5137,False,70000000,57958696,107.0
260,9348,True,35000000,113374103,108.0
261,18501,False,50000000,40828540,95.0
262,8487,False,170000000,222104681,106.0
263,8836,True,30000000,68369434,104.0
264,834,True,50000000,111340801,106.0
265,7512,False,30000000,495303,84.0
266,152,True,35000000,139000000,132.0
267,431,True,250000,501818,90.0
268,6795,False,65000000,64321501,101.0
